,Tweet,text,date,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
698,house foreign affairs member mccaul on china  vaccines  russia  nord stream 2  texas ,"House Foreign Affairs Member McCaul on China, Vaccines, Russia, Nord Stream 2, Texas https://t.co/fuXVOF53GW",Thu Mar 04 03:56:37 +0000 2021,0,0,0,0,0,0,0,0,1,0
699,"   18 oct 2019   wuhan world military games
18 oct 2019   event 201 pandemic practice session

first cov case reported in wuhan 17 nov 2019  china finally admits release 19 dec 2019 ","@friddleleo @MartiniAlex @XHNews 18 Oct 2019 - Wuhan World Military Games
18 Oct 2019 - Event 201 Pandemic Practice Session

First COV case reported in Wuhan 17 Nov 2019. China finally admits release 19 Dec 2019.",Mon Mar 22 05:01:45 +0000 2021,0,0,0,0,0,0,0,1,1,0
700,  heal mtase china is not my holiday destination the about at this particular juncture keep your coronavirus there ,@_zxnhle @nandi_nay Heal mtase china is not my holiday destination the about at this particular juncture keep your covid there https://t.co/yRTBOeKmLC,Mon Mar 22 07:38:29 +0000 2021,0,0,0,0,1,0,1,0,0,0
701,hao   after all this mess that is global pandemic  could you please go back to have a solo schedule in china  you know  since people respect and appreciate you more there than these bitches ,"Hao.. After all this mess that is global pandemic, could you please go back to have a solo schedule in China? You know, since people respect and appreciate you more there than these bitches.",Mon Mar 22 11:33:29 +0000 2021,1,0,0,0,0,0,0,0,0,1
702, china s  cdc director gao fu expressed his hope ystd that china would reach 70  to 80  coverage of inoculation w   coronavirus  vaccine  basically achieving herd immunity in early 2022 or even by the end of 2021  china administered 75 mln doses of vaccines as of march 20  ,"#China's #CDC Director Gao Fu expressed his hope ystd that China would reach 70% to 80% coverage of inoculation w/ #COVID19 #vaccine, basically achieving herd immunity in early 2022 or even by the end of 2021. China administered 75 mln doses of vaccines as of March 20. https://t.co/DwOgbUqSmx",Mon Mar 22 11:37:22 +0000 2021,0,0,0,0,0,0,0,0,1,0
703,retweet  hao   after all this mess that is global pandemic  could you please go back to have a solo schedule in china  you know  s…,"RT @unicorn_wind: Hao.. After all this mess that is global pandemic, could you please go back to have a solo schedule in China? You know, s…",Mon Mar 22 12:44:56 +0000 2021,1,0,0,0,0,0,0,0,0,1
704,retweet  ”most of highly ambitious scientists representing us had been research collaborators with china wiv  e g  ralph baric  pe…,"RT @DrLiMengYAN1: ”Most of highly ambitious scientists representing US had been research collaborators with China/WIV (e.g. Ralph Baric, Pe…",Mon Mar 22 14:25:18 +0000 2021,0,0,0,0,0,0,0,1,1,0
705,"march 74 96 million doses  40  population by june  damn  amazing speed for a country not heavily hit by pandemic   coronavirus  vaccine 

china pushes mass vaccinations to build herd immunity against coronavirus  via ","March 74.96 million doses. 40% population by June. Damn. Amazing speed for a country not heavily hit by pandemic. #covid19 #vaccine 

China pushes mass vaccinations to build herd immunity against Covid-19 https://t.co/p36se2o7kO via @YouTube",Mon Mar 22 14:31:02 +0000 2021,1,1,0,0,0,0,0,0,0,0
706,  she even tweets boldly comparing china and sa and china pandemic rolling on the floor laughing,@nandi_nay @_zxnhle She even tweets boldly comparing china and SA and china pandemic 🤣🤣,Mon Mar 22 20:43:35 +0000 2021,0,0,0,0,0,0,0,0,0,1
707,retweet  before pandemic yuqi used to travel from korea to china several times due to her schedules in both countries  but now wi…,"RT @Gidle_updates: Before Pandemic Yuqi used to travel from Korea to China several times due to her schedules in both countries, but now wi…",Mon Mar 22 23:46:38 +0000 2021,0,0,0,0,0,1,1,0,0,1
708,retweet  a fourth batch of the coronavirus vaccines developed by china s sinopharm is set to arrive in morocco on march 30  local med…,"RT @CGTNOfficial: A fourth batch of the COVID-19 vaccines developed by China's Sinopharm is set to arrive in Morocco on March 30, local med…",Tue Mar 23 01:09:32 +0000 2021,0,0,0,0,0,0,0,0,1,0
709,"kid  migration  crisis  asian  usa  australia  flood  fire  dictatorship  china  myanmar  coronavirus  10am23march2021






","kid, migration, crisis, Asian, USA, Australia, flood, fire, dictatorship, China, Myanmar, COVID, 10am23March2021
https://t.co/1dZgpLCghu
https://t.co/sO1yBRpDHb
https://t.co/CtRhmMYL81
https://t.co/IkBHuYRqyk
https://t.co/kaM7cxCtGM
https://t.co/wE8TOboj7X
https://t.co/Iv2sQvaQtD",Tue Mar 23 03:40:28 +0000 2021,0,0,0,0,0,0,0,1,1,0
710,retweet    vietnam is communist  indonesia  thailand  malaysia secured vaccines from china early because th…,"RT @AustinOng1: @richardjuan @lizasoberano Vietnam is communist. Indonesia, Thailand, Malaysia secured vaccines from China early because th…",Wed Mar 24 04:46:39 +0000 2021,0,0,0,0,0,0,1,1,0,0
711,"presumably a very long wait without china’s vaccine availability 
morrison urged to step up vaccines in pacific to keep ahead of china ","Presumably a very long wait without China’s vaccine availability 
Morrison urged to step up vaccines in Pacific to keep ahead of China https://t.co/BNp18E3cG2",Wed Mar 24 07:28:58 +0000 2021,0,0,0,0,0,0,0,1,0,0
712,retweet  china appears to be appeasing the philippines by donating coronavirus vaccines while its maritime militia swarms julian feli…,RT @PhilstarNews: China appears to be appeasing the Philippines by donating COVID-19 vaccines while its maritime militia swarms Julian Feli…,Wed Mar 24 08:55:03 +0000 2021,0,0,0,0,0,0,1,1,0,0
713,retweet  china’s sinovac biotech says its coronavirus vaccine appears safe for children  ,RT @SCMPNews: China’s Sinovac Biotech says its Covid-19 vaccine appears safe for children  https://t.co/ncnxanq7kr,Wed Mar 24 12:04:02 +0000 2021,0,0,0,0,0,0,0,0,1,0
714,retweet  that is why i do not trust china they always have hidden agenda when they help  low quality vaccines for the islands of phil…,"RT @FlameEater_: That’s why I don’t trust China,they always have hidden agenda when they help. Low quality vaccines for the islands of Phil…",Wed Mar 24 13:15:30 +0000 2021,0,0,0,0,0,0,1,1,0,0
715,retweet  lindsey graham downplays the rhetoric of  china virus  and  kung flu  as contributing to the rise in hate crimes against asian…,"RT @mkraju: Lindsey Graham downplays the rhetoric of ""China virus"" and ""Kung Flu"" as contributing to the rise in hate crimes against Asian…",Wed Mar 24 15:33:28 +0000 2021,0,0,0,0,0,0,1,1,1,0
716,retweet  i am genuinely annoyed by nyt at this point regarding their reports on china  it is fueling this anti chinese  anti asi…,"RT @xin_liu_studio: I am genuinely annoyed by NYT at this point regarding their reports on China. It is fueling this anti-chinese, anti-asi…",Wed Mar 24 16:48:51 +0000 2021,0,0,0,0,0,0,1,0,0,0
717,china denies offer of  vaccine diplomacy  deal to paraguay  ,China denies offer of 'vaccine diplomacy' deal to Paraguay https://t.co/2j8fRsgS3e https://t.co/a41gy0AUUG,Wed Mar 24 21:47:33 +0000 2021,0,0,0,0,0,0,0,1,1,0
718,retweet  it is most likely that china was conducting  within the framework of a biological warfare program  parallel development…,"RT @DrLiMengYAN1: “It is most likely that China was conducting, within the framework of a biological warfare program, parallel development…",Wed Mar 24 23:17:05 +0000 2021,0,0,0,0,0,0,0,1,0,0
719,"retweet  taiwan quarantine   14 days  shuhua
thailand quarantine   10 days  minnie
china quarantine   21 days  yuqi

 gidle  여자아이들 ","RT @hiikiddo: Taiwan Quarantine - 14 days #SHUHUA
Thailand Quarantine - 10 days #MINNIE
China Quarantine - 21 days #YUQI

#GIDLE #여자아이들 @G_…",Thu Mar 25 00:19:33 +0000 2021,0,0,0,0,0,0,0,0,1,0
720,retweet   china s report on human rights violations in the united states in 2020  u s unilateral sanctions against  iran   cuba   …,"RT @AndreVltchek: #China's Report on Human Rights Violations in the United States in 2020: U.S unilateral sanctions against #Iran, #Cuba, #…",Fri Mar 26 05:16:21 +0000 2021,0,0,0,0,0,0,1,1,1,0
721,"retweet  flag  China

most experts agree the chinese communist party virus came from a lab in wuhan  china ","RT @SayNoToSino: 🇨🇳

Most experts agree the CCP Virus came from a lab in Wuhan, China https://t.co/8suZdPthdP",Fri Mar 26 05:49:39 +0000 2021,0,0,0,0,0,0,0,1,0,0
722,so  us  amp  uk are looking after no 1 entirely  now that the eu and india are restricting some exports it looks like china  and russia  are left looking after most of the world s vaccines  shameful behaviour if you ask me  particularly us and uk  ,"So, US &amp; UK are looking after no 1 entirely. Now that the EU and India are restricting some exports it looks like China (and Russia) are left looking after most of the world's vaccines. Shameful behaviour if you ask me. Particularly US and UK. https://t.co/lYcteGTtZi",Fri Mar 26 06:47:17 +0000 2021,0,0,0,0,0,0,1,0,0,0
723,"where is sanofi madame  grinning face with smiling eyes
mismanagement or what  
relying on uk  amp  us for vaccine is quite horrible things to imagine  even russia  amp  china has their own vaccine  
i am afraid no coronavirus vaccine will be labeled as  made in germany france   ","Where's Sanofi Madame? 😄
Mismanagement or what? 
Relying on UK &amp; US for vaccine is quite horrible things to imagine. Even Russia &amp; China has their own vaccine. 
I am afraid no covid vaccine will be labeled as ""Made in Germany/France""? https://t.co/x0LV5C3iwb",Fri Mar 26 10:00:07 +0000 2021,0,0,0,0,0,0,1,0,0,0
724,fpci cordially invites you to “finding business partners and seizing opportunities in china during coronavirus time and beyond  that will take place on wednesday  31 march 2021 at 09 00 10 30  jakarta  or 10 00 11 30  beijing   ,"FPCI cordially invites you to “Finding Business Partners and Seizing Opportunities in China during COVID-19 Time and Beyond"" that will take place on Wednesday, 31 March 2021 at 09.00-10.30 (Jakarta) or 10.00-11.30 (Beijing). https://t.co/7fgdaoGoT4",Fri Mar 26 10:55:11 +0000 2021,1,0,0,0,0,0,0,0,1,0
725,retweet  redfield tells cnn he believes origin of the coronavirus pandemic is a lab in china ,RT @thehill: Redfield tells CNN he believes origin of the coronavirus pandemic is a lab in China https://t.co/FH29Zh0fde,Fri Mar 26 16:26:15 +0000 2021,0,0,0,0,0,0,0,1,1,0
726,"absurd to depict this as an ‘alms race’ with china
‘the other way to look at it is what is happening is a humanitarian crisis’
‘extraordinarily dire’  png coronavirus crisis could see australia in an alms race with china   the new daily ","Absurd to depict this as an ‘alms race’ with China
‘The other way to look at it is what’s happening is a humanitarian crisis’
‘Extraordinarily dire’: PNG COVID crisis could see Australia in an alms race with China | The New Daily https://t.co/qREhJIgdQE",Fri Mar 26 21:29:10 +0000 2021,0,0,0,0,0,0,1,0,0,0
727,one year ago  the us surpasses china in cumulative coronavirus infections microbe ,One year ago: the US surpasses China in cumulative Coronavirus infections 🦠 https://t.co/X6gKkAyTVU,Sat Mar 27 00:28:14 +0000 2021,0,0,0,0,0,0,0,0,0,1
728,retweet  a former top u s  health official says he thinks the coronavirus originated in a lab in wuhan  china  and began spreading as…,"RT @business: A former top U.S. health official says he thinks the coronavirus originated in a lab in Wuhan, China, and began spreading as…",Sat Mar 27 00:33:13 +0000 2021,0,0,0,0,0,0,0,1,1,0
729,retweet  kremlin criticizes western claims that russia  amp  china use coronavirus vaccines to expand international influence …,RT @XHNews: Kremlin criticizes Western claims that Russia &amp; China use COVID-19 vaccines to expand international influence https://t.co/95k1…,Sat Mar 27 00:36:18 +0000 2021,0,0,0,0,0,0,1,1,1,0
730,retweet  the former cdc director in a controversial claim this week said he believes coronavirus originated in a lab in china  a claim wid…,"RT @thehill: The former CDC director in a controversial claim this week said he believes COVID-19 originated in a lab in China, a claim wid…",Sat Mar 27 01:06:50 +0000 2021,0,0,0,0,0,0,1,1,0,0
731,"airfares in china bounce back to pre pandemic levels

 sc morning post ","Airfares in China bounce back to pre-pandemic levels
https://t.co/O1SFBmm8Ie
(SC Morning Post)",Sat Mar 27 01:43:30 +0000 2021,0,0,0,0,0,0,0,0,1,0
732,i was administered the coronavac coronavirus vaccine manufactured by  biofarma under the license from china s sinovac biotech black heart,I was administered the CoronaVac/Covid-19 vaccine manufactured by #BioFarma under the license from China's Sinovac Biotech 🖤,Sat Mar 27 01:45:56 +0000 2021,0,0,0,0,0,0,0,0,1,0
733,retweet  a new batch of  coronavirus  vaccines cambodia purchased from china s pharmaceutical company sinovac biotech arrived on frida…,RT @ChinaScience: A new batch of #COVID19 #vaccines Cambodia purchased from China's pharmaceutical company Sinovac Biotech arrived on Frida…,Sat Mar 27 02:15:27 +0000 2021,0,0,0,0,0,0,0,0,1,0
734,retweet  a china developed recombinant protein subunit  vaccine against  coronavirus  which has been approved for emergency use  has shown…,"RT @PDChina: A China-developed recombinant protein subunit #vaccine against #COVID19, which has been approved for emergency use, has shown…",Sat Mar 27 02:57:51 +0000 2021,0,0,0,0,0,0,0,0,1,0
735,today  i had a  tete a tete meeting with state councilor fm wang yi of china in wu yi  fujian province  our third meeting in person since the beginning of the pandemic 🇮🇩🇨🇳 ,"Today, I had a  tete a tete meeting with State Councilor/FM Wang Yi of China in Wu Yi, Fujian Province. Our third meeting in person since the beginning of the pandemic 🇮🇩🇨🇳 https://t.co/97DGhGAepw",Fri Apr 02 09:27:42 +0000 2021,0,0,0,0,0,0,0,0,1,0
736,"a frank and very productive meeting on regional geopolitical developments  myanmar and indo pacific   as well as vaccine cooperation 

china supports asean efforts to assist myanmar in addressing the current situation in myanmar ","A frank and very productive meeting on regional geopolitical developments (Myanmar and Indo-Pacific), as well as vaccine cooperation.

China supports ASEAN efforts to assist Myanmar in addressing the current situation in Myanmar.",Fri Apr 02 09:27:59 +0000 2021,0,1,0,0,0,0,0,0,1,0
737,retweet  today  i had a  tete a tete meeting with state councilor fm wang yi of china in wu yi  fujian province  our third meeting in…,"RT @Menlu_RI: Today, I had a  tete a tete meeting with State Councilor/FM Wang Yi of China in Wu Yi, Fujian Province. Our third meeting in…",Fri Apr 02 10:07:41 +0000 2021,0,0,0,0,0,0,0,0,0,0
738,today chinese fm angyi held talks with  indonesian fm  in fujian  china  the 2 sides agreed to strengthen coordination  amp  cooperation in regional  amp  international affairs  and contribute to the stability and development of asia and the world in the post pandemic period  ,"Today Chinese FM #WangYi held talks with #Indonesian FM @Menlu_RI in Fujian, China. The 2 sides agreed to strengthen coordination &amp; cooperation in regional &amp; international affairs, and contribute to the stability and development of Asia and the world in the post-pandemic period. https://t.co/imDMuHelI3",Fri Apr 02 10:56:36 +0000 2021,0,0,0,0,0,0,0,0,1,0
739,retweet  today chinese fm angyi held talks with  indonesian fm  in fujian  china  the 2 sides agreed to strengthen coord…,"RT @China2ASEAN: Today Chinese FM #WangYi held talks with #Indonesian FM @Menlu_RI in Fujian, China. The 2 sides agreed to strengthen coord…",Fri Apr 02 11:40:16 +0000 2021,0,0,0,0,0,0,0,0,1,0
740, yes the man who supported china flag  China in this pandemic world war       ,@ErayCr Yes the man who supported china 🇨🇳 in this pandemic world war.......,Fri Apr 02 11:43:10 +0000 2021,0,0,0,0,0,0,1,1,0,0
741,retweet  residents in ruili in yunnan  china have been urged to stay home following reports of new coronavirus cases  how are daily necessi…,"RT @XHNews: Residents in Ruili in Yunnan, China have been urged to stay home following reports of new COVID-19 cases. How are daily necessi…",Fri Apr 02 15:09:26 +0000 2021,0,0,0,0,1,0,0,0,1,0
742,retweet  eu’s ‘bizarre’ refusal to criticise who lets china off hook over coronavirus  says analyst ,"RT @SayNoToSino: EU’s ‘bizarre’ refusal to criticise WHO lets China off hook over coronavirus, says analyst https://t.co/iLLCsuOsNX",Fri Apr 02 15:48:33 +0000 2021,0,0,0,0,0,0,1,1,1,0
743,"retweet  i often remind people  

“remember when china released videos of people dying of coronavirus in the middle of the streets that terrif…","RT @aginnt: I often remind people -

“Remember when China released videos of people dying of COVID in the middle of the streets that terrif…",Fri Apr 02 18:14:56 +0000 2021,0,0,0,0,0,0,1,1,0,0
744,"retweet  do not let them turn america into china   

the federalist  vaccine passports are a serious threat to american civil lib…","RT @DonaldJTrumpJr: Don't let them turn America into China!!!

The Federalist: Vaccine Passports Are A Serious Threat To American Civil Lib…",Fri Apr 02 22:17:41 +0000 2021,0,0,0,0,0,0,1,1,0,0
745,retweet  luiz fux  president of brazil s supreme federal court  received his first shot of china s  sinovac vaccine on friday in a…,"RT @CGTNOfficial: Luiz Fux, president of Brazil's Supreme Federal Court, received his first shot of China's #Sinovac vaccine on Friday in a…",Sat Apr 03 00:51:26 +0000 2021,0,0,0,0,0,0,0,0,1,0
746,retweet   mongolia received the first batch of coronavirus  vaccines it has purchased from china on friday as part of the efforts to…,RT @CGTNOfficial: #Mongolia received the first batch of COVID-19 #vaccines it has purchased from China on Friday as part of the efforts to…,Sat Apr 03 00:51:32 +0000 2021,0,0,0,0,0,0,0,0,1,0
747,retweet  sw china’s yunnan province reported 7 locally transmitted  coronavirus cases and 5 asymptotic infections on friday  yunnan…,RT @globaltimesnews: SW China’s Yunnan Province reported 7 locally transmitted #COVID19 cases and 5 asymptotic infections on Friday. Yunnan…,Sat Apr 03 01:02:51 +0000 2021,0,0,0,0,0,0,0,0,1,0
748,retweet  china and indonesia will deepen ties in vaccine programs   beltandroad initiative  amp  marine security to boost regional…,"RT @globaltimesnews: China and Indonesia will deepen ties in vaccine programs, #BeltandRoad Initiative &amp; marine security to boost regional…",Sat Apr 03 01:03:28 +0000 2021,1,0,0,0,0,0,0,0,1,0
749,fm angyi held talks w  philippine fm  ystd in fujian  china  wang said  china is willing to continue to promote  vaccine cooperation with the  philippines  calling on both sides to advance the high quality  bri coop amp endeavor to complete key projects on schedule  ,"FM #WangYi held talks w/ Philippine FM @teddyboylocsin ystd in Fujian, China. Wang said #China is willing to continue to promote #vaccine cooperation with the #Philippines, calling on both sides to advance the high-quality #BRI coop&amp;endeavor to complete key projects on schedule. https://t.co/4jZyU0ZYKY",Sat Apr 03 01:55:37 +0000 2021,0,0,0,0,0,0,0,0,1,0
750,the  philippine fm  said  china s provision of vaccines is not to carry out  vaccine diplomacy   but to demonstrate its responsibility  without china s support  it will be difficult for the region  amp  the world to recover from the pandemic  ,"The #Philippine FM @teddyboylocsin said #China's provision of vaccines is not to carry out ""vaccine diplomacy"", but to demonstrate its responsibility. Without China's support, it will be difficult for the region &amp; the world to recover from the pandemic. https://t.co/QWL8eKi7vd",Sat Apr 03 01:56:24 +0000 2021,0,0,0,0,0,0,1,1,1,0
751,what if coronavirus is actually  made in china  version of a more dangerous virus made in eu us lab ,"what if covid19 is actually ""made in china"" version of a more dangerous virus made in EU/US lab?",Sat Apr 03 02:54:12 +0000 2021,0,0,0,0,0,0,0,1,0,0
752,"retweet  🇦🇺🇦🇺herald sun 

china and russia s plot to undermine vaccine rollout 

experts have analysed how china🇨🇳and russia🇷🇺 are…","RT @SayNoToSino: 🇦🇺🇦🇺Herald Sun:

China and Russia's plot to undermine vaccine rollout.

Experts have analysed how China🇨🇳and Russia🇷🇺 are…",Sun Apr 04 05:00:39 +0000 2021,0,0,0,0,0,0,1,1,0,0
753,retweet  today there is virtually nothing happening in u s  virus research laboratories about which china’s military is not inti…,RT @LawrenceSellin: Today there is virtually nothing happening in U.S. virus research laboratories about which China’s military is not inti…,Sun Apr 04 05:04:32 +0000 2021,0,0,0,0,0,0,1,1,0,0
754,"retweet  coronavirus came from a laboratory in china

   biden   coronavirus  coronavirus  coronavirus updates  c…","RT @LawrenceSellin: COVID-19 came from a laboratory in China

@RealPNavarro @RaheemKassam #Biden  #COVID19 #Covid_19 #CoronaVirusUpdates #c…",Sun Apr 04 05:05:03 +0000 2021,0,0,0,0,0,0,0,0,1,0
755,"retweet  ‘real risk’  chinese labs making next virus  via  

china s🇨🇳  labs  making  next  viru…","RT @SayNoToSino: ‘Real risk’: Chinese labs making next virus https://t.co/PPEVHBmeXJ via @newscomauHQ 

CHINA'S🇨🇳  LABS  MAKING  NEXT  VIRU…",Sun Apr 04 05:08:43 +0000 2021,0,0,0,0,1,0,0,1,0,0
756,retweet  mainland china reports 21 coronavirus cases vs 26 a day earlier  ,RT @Reuters: Mainland China reports 21 coronavirus cases vs 26 a day earlier https://t.co/8TyewN5P7O https://t.co/8VuCJZFwrw,Sun Apr 04 06:25:52 +0000 2021,0,0,0,0,0,0,0,0,1,0
757,uae to produce china’s sinopharm coronavirus vaccine ,UAE to produce China’s Sinopharm Covid vaccine https://t.co/3nyd2pq5bo,Sun Apr 04 06:56:44 +0000 2021,0,0,0,0,0,0,0,0,1,0
758,the increasing assertiveness of china and australia’s deteriorating relations with beijing  as well as the lessons of  coronavirusー19 have strengthened the push for greater missile  capability ,"The increasing assertiveness of China and Australia’s deteriorating relations with Beijing, as well as the lessons of #COVIDー19 have strengthened the push for greater missile  capability https://t.co/RzE0r8vZM0",Sun Apr 04 08:05:56 +0000 2021,0,0,0,0,0,0,1,1,1,0
759,china rejects who criticism and says coronavirus lab leak theory ‘ruled out’ ,China rejects WHO criticism and says Covid lab-leak theory ‘ruled out’ https://t.co/fsInaH0oev,Sun Apr 04 09:02:34 +0000 2021,0,0,0,0,0,0,0,1,1,0
760,retweet  china administered 136 68 million coronavirus vaccine doses by saturday  ,RT @Reuters: China administered 136.68 million COVID-19 vaccine doses by Saturday https://t.co/B8JukRYu68 https://t.co/w1zzLJkJqj,Sun Apr 04 10:10:41 +0000 2021,0,0,0,0,0,0,0,0,1,0
761,retweet  el salvador’s president nayib bukele said china will donate 150 000  sinovac coronavirus  vaccine doses to the central american n…,"RT @PDChina: El Salvador’s President Nayib Bukele said China will donate 150,000 #Sinovac COVID-19 #vaccine doses to the Central American n…",Wed Apr 07 06:09:14 +0000 2021,0,0,0,0,0,0,0,0,1,0
762, taiwan accuses china of  vaccine diplomacy  in paraguay it is claimed that beiji  ,https://t.co/TyONDjK5tw Taiwan accuses China of 'vaccine diplomacy' in Paraguay It is claimed that Beiji https://t.co/VBl58vQb5A https://t.co/oJt2f2Gwjt,Wed Apr 07 11:40:48 +0000 2021,0,0,0,0,0,0,1,1,1,0
763,retweet  from wuhan for the great china  electron beam irradiation for coronavirus ,RT @OnlyOnesia: From Wuhan for the Great China. Electron beam irradiation for Coronavirus.,Wed Apr 07 13:04:11 +0000 2021,0,0,0,0,0,0,0,1,0,0
764,taiwan accuses china of  vaccine diplomacy  in paraguay  ,Taiwan accuses China of 'vaccine diplomacy' in Paraguay https://t.co/Y4PcH4mzs6 https://t.co/VWdnlpELpl,Wed Apr 07 13:22:46 +0000 2021,0,0,0,0,0,0,1,1,1,0
765,  all this stupid vaccine maitri countries getting free vaccines for saying modi is great will hote with china on all resolutions seriously  we gave vaccine to canada also canada  khanlistan sponsored private message wow  that takes special kind of stupid masterstroke sir,"@daeroplate_v2 @AbhishBanerj All this stupid vaccine maitri countries getting free vaccines for saying modi is great will.hote with china on all resolutions seriously ,we gave vaccine to Canada also Canada,-khanlistan sponsored PM wow, that takes special kind of stupid masterstroke sir",Wed Apr 07 13:33:38 +0000 2021,0,0,0,0,0,0,1,0,0,0
766,retweet  one year after wuhan lifted its 76 day lockdown to curb the spread of novel coronavirus  streets of the city in central china s h…,"RT @CCTV: One year after Wuhan lifted its 76-day lockdown to curb the spread of novel coronavirus, streets of the city in central China's H…",Fri Apr 09 08:05:37 +0000 2021,1,0,0,0,0,0,0,0,1,0
767,retweet   china can stiff the world on an independent investigation into  coronavirus’s origin—as it is now doing—but everyone should…,RT @GordonGChang: #China can stiff the world on an independent investigation into #COVID19’s origin—as it is now doing—but everyone should…,Fri Apr 09 08:06:39 +0000 2021,0,0,0,0,0,0,1,1,0,0
768, my sources tell me that china is already holding vaccines hostage because of our diplomatic protests ,@societyofhonor My sources tell me that China is already holding vaccines hostage because of our diplomatic protests.,Fri Apr 09 08:39:56 +0000 2021,0,0,0,0,0,0,1,1,0,0
769,"retweet  5th  undp  asean  china annual symposium today with many young leaders  amp entrepreneurs supported by 

t…","RT @C_Bahuet: 5th #UNDP #ASEAN #China Annual Symposium today with many young leaders &amp;entrepreneurs supported by @UNDPasiapac
@YouthCoLab
T…",Fri Apr 09 12:39:52 +0000 2021,1,1,0,0,0,0,0,0,1,0
770,retweet  while china has exported nearly double the number of vaccine doses compared to india and the european union  china’s vac…,"RT @ForeignPolicy: While China has exported nearly double the number of vaccine doses compared to India and the European Union, China’s vac…",Fri Apr 09 14:04:46 +0000 2021,0,0,0,0,0,0,0,1,1,0
771,india  china ramp up gold purchases as market starts recovering from pandemic pain — retweet business news ,"India, China ramp up gold purchases as market starts recovering from pandemic pain — RT Business News https://t.co/htSJDwaqyL",Fri Apr 09 17:33:06 +0000 2021,0,0,0,0,0,0,0,0,1,0
772,"retweet  racism in china  part 2

as the chinese communist party launches its nationwide propaganda campaign to blame foreigners for all new coronavi…","RT @TruthAbtChina: Racism in China: Part 2

As the CCP launches its nationwide propaganda campaign to blame foreigners for all new coronavi…",Sat Apr 10 00:45:22 +0000 2021,0,0,0,0,0,0,1,1,0,0
773,"retweet  wayv s winwin  amp  lucas spotted resuming activities in china  after 21 days under quarantine
","RT @allkpop: WayV's Winwin &amp; Lucas spotted resuming activities in China, after 21 days under quarantine
https://t.co/PbdXmm24XM",Sat Apr 10 05:48:00 +0000 2021,0,0,0,0,0,0,0,0,1,0
774,retweet  watch  third batch of china s  sinovac vaccine arrives in thailand ,RT @CGTNOfficial: Watch: Third batch of China's #Sinovac vaccine arrives in Thailand https://t.co/CZccQXWY6y,Sat Apr 10 06:36:44 +0000 2021,1,0,0,0,0,0,0,0,1,0
775,retweet  china government owns successful  unrestrictedbioweapon  coronavirus and unsuccessful vaccine  then promotes both to the worl…,"RT @DrLiMengYAN1: China government owns successful #UnrestrictedBioweapon #COVID19 and unsuccessful vaccine, then promotes both to the worl…",Sat Apr 10 15:37:45 +0000 2021,0,0,0,0,0,0,1,1,0,0
776,retweet  the head of china cdc admitted that chinese coronavirus vaccines have low protection rates and china is considering alternativ…,RT @YanzhongHuang: The head of China CDC admitted that Chinese Covid vaccines have low protection rates and China is considering alternativ…,Sat Apr 10 16:08:55 +0000 2021,0,0,0,0,0,0,0,0,1,0
777,retweet  china approves new  coronavirus vaccine for clinical trials  based on structural features of receptor binding domain on virus  s…,RT @XHscitech: China approves new #COVID19 vaccine for clinical trials. Based on structural features of receptor binding domain on virus' s…,Sat Apr 10 16:19:47 +0000 2021,0,0,0,0,0,0,0,0,1,0
778,retweet  india is the fastest country to vaccinate 100 million people  we took 85 days  us took 89 and china  daddy of the land of pi…,"RT @bhootnath: India is the fastest country to vaccinate 100 million people, we took 85 days, US took 89 and China (daddy of the land of pi…",Sat Apr 10 16:55:12 +0000 2021,0,0,0,0,0,0,1,0,0,1
779,"anyway fuck corona   
i guess i will be in china  chillin with the freaking cold winter ","Anyway fuck corona~~ 
I guess I'll be in China, chillin with the freaking cold winter https://t.co/ayRN7I1RMJ",Sat Apr 10 18:15:49 +0000 2021,0,0,0,0,0,0,1,0,0,1
780, did not you know that china is working with germany to manufacture vaccines too  why you guys need to be that cynical  sick,@Noahpinion Didn't you know that China is working with Germany to manufacture vaccines too? Why you guys need to be that cynical. Sick,Sat Apr 10 18:26:47 +0000 2021,0,0,0,0,0,0,1,0,0,0
781, and also  the us does not share its vaccines with the world  such a selfish and sick nation  in contrary  china exports its vaccines to our country and we are grateful for that ,"@Noahpinion And also, the US doesn't share its vaccines with the world. Such a selfish and sick nation. In contrary, China exports its vaccines to our country and we are grateful for that.",Sat Apr 10 18:32:10 +0000 2021,0,0,0,0,0,0,1,0,0,0
782,china calls for halt to mandatory vaccines amid inoculation push ,China Calls For Halt to Mandatory Vaccines Amid Inoculation Push https://t.co/QJwwFgr9fX,Mon Apr 12 04:34:03 +0000 2021,0,0,0,0,0,0,0,0,1,0
783, will worldwide coronavirus death become china s count ,@Sabina_91521 Will worldwide covid death become China's count?,Mon Apr 12 04:40:36 +0000 2021,0,0,0,0,0,0,0,0,0,1
784,"china s top disease control official gao fu added that china was considering mixing vaccines as a way of boosting efficacy 

","China's top disease control official Gao Fu added that China was considering mixing vaccines as a way of boosting efficacy.

https://t.co/NE69j7mvDw",Mon Apr 12 04:50:14 +0000 2021,0,0,0,0,0,0,0,0,1,0
